diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
+,GANSW718463046,6A-A,NORTH SCENIC ROAD,,151.46769995,-33.40773744,FORRESTERS BEACH,2260,NSW,2
-,GAWA_148025527,29A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148025527,29A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_161041896,5,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,6716,WA,4
+,GAWA_161041896,5,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,,WA,4
-,GANSW718455351,46A,BRISBANE WATER DRIVE,,151.31884682,-33.46554334,KOOLEWONG,2256,NSW,2
+,GANSW718455351,46A-A,BRISBANE WATER DRIVE,,151.31884682,-33.46554334,KOOLEWONG,2256,NSW,2
-,GAWA_148006897,22A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148006897,22A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GATAS720883182,1200,FORTESCUE BAY ROAD,,147.92018074,-43.11830997,FORTESCUE,7182,TAS,4
+,GATAS720883182,1200,FORTESCUE BAY ROAD,,147.92018074,-43.11830997,FORTESCUE,,TAS,4
-,GAWA_148010733,22D,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148010733,22D,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718464098,38A,PICNIC PARADE,,151.33758878,-33.51245821,ETTALONG BEACH,2257,NSW,2
+,GANSW718464098,38A-A,PICNIC PARADE,,151.33758878,-33.51245821,ETTALONG BEACH,2257,NSW,2
-,GANSW718463277,60A,OCEAN BEACH ROAD,,151.32090689,-33.49474085,WOY WOY,2256,NSW,2
+,GANSW718463277,60A-A,OCEAN BEACH ROAD,,151.32090689,-33.49474085,WOY WOY,2256,NSW,2
-,GANSW718463286,137B,OCEAN VIEW DRIVE,,151.44569383,-33.42884898,WAMBERAL,2260,NSW,2
+,GANSW718463286,137B-B,OCEAN VIEW DRIVE,,151.44569383,-33.42884898,WAMBERAL,2260,NSW,2
-,GANSW715368101,1477,EDDERTON ROAD,,150.81599140,-32.35771238,EDDERTON,2333,NSW,4
+,GANSW715368101,1477,EDDERTON ROAD,,150.81599140,-32.35771238,EDDERTON,,NSW,4
-,GAQLD425702257,3415,WALLAMAN FALLS ROAD,,145.83908934,-18.61668523,WALLAMAN,4850,QLD,4
+,GAQLD425702257,3415,WALLAMAN FALLS ROAD,,145.83908934,-18.61668523,WALLAMAN,,QLD,4
-,GAWA_148005124,9,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148005124,9,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GANSW718460281,2C,KATEENA AVENUE,,151.31778767,-33.45071976,TASCOTT,2250,NSW,2
+,GANSW718460281,2C-C,KATEENA AVENUE,,151.31778767,-33.45071976,TASCOTT,2250,NSW,2
-,GANSW718465072,4A,SALISBURY DRIVE,,151.40808004,-33.43819984,TERRIGAL,2260,NSW,2
+,GANSW718465072,4A-A,SALISBURY DRIVE,,151.40808004,-33.43819984,TERRIGAL,2260,NSW,2
-,GANSW718459548,11A,HELEN DRIVE,,151.42962218,-33.48923474,COPACABANA,2251,NSW,2
+,GANSW718459548,11A-A,HELEN DRIVE,,151.42962218,-33.48923474,COPACABANA,2251,NSW,2
-,GAWA_148016423,20D,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148016423,20D,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718454292,297C,AVOCA DRIVE,,151.35571639,-33.45875741,GREEN POINT,2251,NSW,2
+,GANSW718454292,297C-C,AVOCA DRIVE,,151.35571639,-33.45875741,GREEN POINT,2251,NSW,2
-,GAWA_148032106,21,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148032106,21,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAQLD425418035,57,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418035,57,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAWA_148013634,22B,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148013634,22B,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GANSW718463281,124B,OCEAN VIEW DRIVE,UNIT 1,151.44425204,-33.42810857,WAMBERAL,2260,NSW,2
+,GANSW718463281,124B-B,OCEAN VIEW DRIVE,UNIT 1,151.44425204,-33.42810857,WAMBERAL,2260,NSW,2
-,GANSW718458379,40B,FREDERICK STREET,,151.34614996,-33.43629760,POINT FREDERICK,2250,NSW,2
+,GANSW718458379,40B-B,FREDERICK STREET,,151.34614996,-33.43629760,POINT FREDERICK,2250,NSW,2
-,GAQLD425418032,55C,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418032,55C,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GANSW718458376,5A,FREDERICK STREET,,151.34594789,-33.43970763,EAST GOSFORD,2250,NSW,2
+,GANSW718458376,5A-A,FREDERICK STREET,,151.34594789,-33.43970763,EAST GOSFORD,2250,NSW,2
