diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
+,GANSW718568494,46A-A,WELLS STREET,,151.35305280,-33.43384839,EAST GOSFORD,2250,NSW,2
-,GANSW718566331,2A,RYANS ROAD,,151.31755758,-33.51096091,UMINA BEACH,2257,NSW,2
+,GANSW718566331,2A-A,RYANS ROAD,,151.31755758,-33.51096091,UMINA BEACH,2257,NSW,2
-,GANSW718567055,112A,STEYNE ROAD,,151.34183756,-33.47331630,SARATOGA,2251,NSW,2
+,GANSW718567055,112A-A,STEYNE ROAD,,151.34183756,-33.47331630,SARATOGA,2251,NSW,2
-,GANSW718567056,43A,STEYNE ROAD,,151.34898608,-33.47271107,SARATOGA,2251,NSW,2
+,GANSW718567056,43A-A,STEYNE ROAD,,151.34898608,-33.47271107,SARATOGA,2251,NSW,2
-,GAWA_148032098,2A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148032098,2A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_163391304,166,NORTH WEST COASTAL HIGHWAY,,114.70575822,-27.47209258,EURARDY,6532,WA,4
+,GAWA_163391304,166,NORTH WEST COASTAL HIGHWAY,,114.70575822,-27.47209258,EURARDY,,WA,4
-,GANSW718453869,219A,ALBANY STREET NORTH,,151.34755243,-33.42623145,GOSFORD,2250,NSW,2
+,GANSW718453869,219A-A,ALBANY STREET NORTH,,151.34755243,-33.42623145,GOSFORD,2250,NSW,2
-,GAWA_148025387,27B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148025387,27B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAQLD720197982,LOT 54,SUNDOWN ROAD,,151.61654899,-28.88725728,SUNDOWN,4382,QLD,2
+,GAQLD720197982,LOT 54,SUNDOWN ROAD,,151.61654899,-28.88725728,SUNDOWN,4879,QLD,2
-,GAQLD719899196,44,RANDALL STREET,,143.54742465,-9.50702352,UGAR ISLAND,4875,QLD,4
+,GAQLD719899196,44,RANDALL STREET,,143.54742465,-9.50702352,UGAR ISLAND,,QLD,4
-,GAQLD425547087,LOT 99,SUNDOWN ROAD,,151.75152151,-28.79899908,SUNDOWN,4382,QLD,2
+,GAQLD425547087,LOT 99,SUNDOWN ROAD,,151.75152151,-28.79899908,SUNDOWN,4879,QLD,2
-,GANSW718462806,15A,NARARA CREEK ROAD,UNIT 22,151.33458461,-33.40589842,NARARA,2250,NSW,2
+,GANSW718462806,15A-A,NARARA CREEK ROAD,UNIT 22,151.33458461,-33.40589842,NARARA,2250,NSW,2
-,GANSW718461282,39B,MALKANA AVENUE,,151.45923532,-33.41225601,FORRESTERS BEACH,2260,NSW,2
+,GANSW718461282,39B-B,MALKANA AVENUE,,151.45923532,-33.41225601,FORRESTERS BEACH,2260,NSW,2
-,GAWA_148009883,1A,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,6716,WA,4
+,GAWA_148009883,1A,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,,WA,4
-,GANSW720545284,3,BADEN POWELL DRIVE,,150.82222416,-34.25076819,CATARACT,2560,NSW,4
+,GANSW720545284,3,BADEN POWELL DRIVE,,150.82222416,-34.25076819,CATARACT,,NSW,4
-,GANSW718461901,2A,MCEVOY AVENUE,,151.31636296,-33.51918407,UMINA BEACH,2257,NSW,2
+,GANSW718461901,2A-A,MCEVOY AVENUE,,151.31636296,-33.51918407,UMINA BEACH,2257,NSW,2
-,GANSW716703727,198,HICKMANS ROAD,,152.44119323,-31.82115817,YARRATT FOREST,2429,NSW,4
+,GANSW716703727,198,HICKMANS ROAD,,152.44119323,-31.82115817,YARRATT FOREST,,NSW,4
-,GANSW709100204,370,EDDERTON ROAD,,150.81599140,-32.35771238,EDDERTON,2333,NSW,4
+,GANSW709100204,370,EDDERTON ROAD,,150.81599140,-32.35771238,EDDERTON,,NSW,4
-,GANSW719179058,4,CROOKHAVEN PARADE,,150.82754533,-35.01271628,BEECROFT PENINSULA,2540,NSW,4
+,GANSW719179058,4,CROOKHAVEN PARADE,,150.82754533,-35.01271628,BEECROFT PENINSULA,,NSW,4
-,GANSW721457981,750,VALLEY THREE ROAD,,150.42074772,-34.13893731,BELOON,2787,NSW,4
+,GANSW721457981,750,VALLEY THREE ROAD,,150.42074772,-34.13893731,BELOON,,NSW,4
-,GANSW718457723,37A,EMPIRE BAY DRIVE,,151.39536535,-33.47328884,KINCUMBER,2251,NSW,2
+,GANSW718457723,37A-A,EMPIRE BAY DRIVE,,151.39536535,-33.47328884,KINCUMBER,2251,NSW,2
-,GANSW718457718,74A,EMORA AVENUE,,151.35904001,-33.48236681,DAVISTOWN,2251,NSW,2
+,GANSW718457718,74A-A,EMORA AVENUE,,151.35904001,-33.48236681,DAVISTOWN,2251,NSW,2
-,GANSW718461954,94A,MCMASTERS ROAD,,151.32187709,-33.50096429,WOY WOY,2256,NSW,2
+,GANSW718461954,94A-A,MCMASTERS ROAD,,151.32187709,-33.50096429,WOY WOY,2256,NSW,2
-,GAWA_148027600,2,GASCOYNE COURT,UNIT 3,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148027600,2,GASCOYNE COURT,UNIT 3,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAQLD425791881,104,B TENNYSONS ROAD,,150.62471499,-26.63824691,RED HILL,4413,QLD,2
+,GAQLD425791881,104,B TENNYSONS ROAD,,150.62471499,-26.63824691,RED HILL,4877,QLD,2
-,GAWA_148008815,2,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148008815,2,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAWA_163387584,2058,CAPE LE GRAND ROAD,,122.16712774,-33.94494046,CAPE LE GRAND,6450,WA,4
+,GAWA_163387584,2058,CAPE LE GRAND ROAD,,122.16712774,-33.94494046,CAPE LE GRAND,,WA,4
-,GAWA_148029201,22B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148029201,22B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAQLD425430150,LOT 54,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425430150,LOT 54,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAQLD721082406,LOT 4693,CARLO ROAD,,138.63304878,-23.37327179,STURT,4829,QLD,4
+,GAQLD721082406,LOT 4693,CARLO ROAD,,138.63304878,-23.37327179,STURT,,QLD,4
-,GAQLD425418023,117,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418023,117,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GANSW718558894,51A,DONNISON STREET WEST,,151.33397389,-33.42656689,WEST GOSFORD,2250,NSW,2
+,GANSW718558894,51A-A,DONNISON STREET WEST,,151.33397389,-33.42656689,WEST GOSFORD,2250,NSW,2
-,GAQLD425702258,3449,WALLAMAN FALLS ROAD,,145.83908934,-18.61668523,WALLAMAN,4850,QLD,4
+,GAQLD425702258,3449,WALLAMAN FALLS ROAD,,145.83908934,-18.61668523,WALLAMAN,,QLD,4
-,GASA_719549975,1,MURPUTJA ROAD,,130.18280880,-26.16355971,MURPUTJA,0872,SA,4
+,GASA_719549975,1,MURPUTJA ROAD,,130.18280880,-26.16355971,MURPUTJA,,SA,4
-,GAWA_148032900,4,GASCOYNE COURT,UNIT 3,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148032900,4,GASCOYNE COURT,UNIT 3,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAWA_148005221,8,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148005221,8,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148008962,2,GASCOYNE COURT,UNIT 6,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148008962,2,GASCOYNE COURT,UNIT 6,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANSW718465898,14A,SUNNYSIDE AVENUE,,151.31751513,-33.43809272,POINT CLARE,2250,NSW,2
+,GANSW718465898,14A-A,SUNNYSIDE AVENUE,,151.31751513,-33.43809272,POINT CLARE,2250,NSW,2
-,GAQLD425418028,31B,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418028,31B,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAQLD425418033,55D,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418033,55D,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAWA_148008965,32,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148008965,32,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_161041894,3,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,6716,WA,4
+,GAWA_161041894,3,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,,WA,4
-,GAWA_148029189,21B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148029189,21B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718466919,2A,WATERLOO AVENUE,,151.32027331,-33.50449827,WOY WOY,2256,NSW,2
+,GANSW718466919,2A-A,WATERLOO AVENUE,,151.32027331,-33.50449827,WOY WOY,2256,NSW,2
-,GAWA_149207978,7,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_149207978,7,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAQLD425418025,26,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418025,26,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAQLD721080269,LOT 2350,CARLO ROAD,,138.63304878,-23.37327179,STURT,4829,QLD,4
+,GAQLD721080269,LOT 2350,CARLO ROAD,,138.63304878,-23.37327179,STURT,,QLD,4
-,GANSW718558686,20A,DARRYL ROAD,,151.35770506,-33.39655960,WYOMING,2250,NSW,2
+,GANSW718558686,20A-A,DARRYL ROAD,,151.35770506,-33.39655960,WYOMING,2250,NSW,2
-,GANSW718809607,6,CATARACT DAM ROAD,,150.80612303,-34.24308913,CATARACT,2560,NSW,4
+,GANSW718809607,6,CATARACT DAM ROAD,,150.80612303,-34.24308913,CATARACT,,NSW,4
-,GANSW718466712,1A,WALDER CRESCENT,,151.42387013,-33.47305243,AVOCA BEACH,2251,NSW,2
+,GANSW718466712,1A-A,WALDER CRESCENT,,151.42387013,-33.47305243,AVOCA BEACH,2251,NSW,2
-,GANSW718457524,23A,EDWARD STREET,UNIT 2,151.32481167,-33.49195961,WOY WOY,2256,NSW,2
+,GANSW718457524,23A-A,EDWARD STREET,UNIT 2,151.32481167,-33.49195961,WOY WOY,2256,NSW,2
-,GAWA_148013629,6,GASCOYNE COURT,UNIT 1,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148013629,6,GASCOYNE COURT,UNIT 1,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANSW718466352,2A,TOURMALINE AVENUE,,151.30634131,-33.54535771,PEARL BEACH,2256,NSW,2
+,GANSW718466352,2A-A,TOURMALINE AVENUE,,151.30634131,-33.54535771,PEARL BEACH,2256,NSW,2
-,GANSW721174565,16,MAIN AVENUE,,146.41054810,-34.60337637,YANCO,2703,NSW,1
+,GANSW721174565,16-D,MAIN AVENUE,,146.41054810,-34.60337637,YANCO,2703,NSW,1
-,GANSW718568391,28A,WARWICK STREET,,151.32857096,-33.50546029,BLACKWALL,2256,NSW,2
+,GANSW718568391,28A-A,WARWICK STREET,,151.32857096,-33.50546029,BLACKWALL,2256,NSW,2
-,GANSW718567053,43A,STEYNE ROAD,UNIT 1,151.34898608,-33.47271107,SARATOGA,2251,NSW,2
+,GANSW718567053,43A-A,STEYNE ROAD,UNIT 1,151.34898608,-33.47271107,SARATOGA,2251,NSW,2
-,GAQLD425418030,55A,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418030,55A,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GANSW718464154,28A,PINE AVENUE,,151.36439775,-33.48758959,DAVISTOWN,2251,NSW,2
+,GANSW718464154,28A-A,PINE AVENUE,,151.36439775,-33.48758959,DAVISTOWN,2251,NSW,2
-,GAQLD425547082,LOT 100,SUNDOWN ROAD,,151.72687116,-28.81260028,SUNDOWN,4382,QLD,2
+,GAQLD425547082,LOT 100,SUNDOWN ROAD,,151.72687116,-28.81260028,SUNDOWN,4879,QLD,2
-,GAWA_148047491,4,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148047491,4,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAWA_148026405,1C,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,6716,WA,4
+,GAWA_148026405,1C,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,,WA,4
-,GAWA_148008816,6,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148008816,6,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAWA_147204018,31,SCARP ROAD,,116.01904496,-32.47881934,MYARA,6207,WA,4
+,GAWA_147204018,31,SCARP ROAD,,116.01904496,-32.47881934,MYARA,,WA,4
-,GAWA_162405244,1,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_162405244,1,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAWA_148010748,12A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148010748,12A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148025383,28,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148025383,28,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_720049506,4273,MOUROUBRA ROAD,,117.71563540,-29.77353175,MOUROUBRA,6472,WA,4
+,GAWA_720049506,4273,MOUROUBRA ROAD,,117.71563540,-29.77353175,MOUROUBRA,,WA,4
-,GAWA_148021806,7,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148021806,7,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANSW718460533,21A,LAKE STREET,,151.43437237,-33.46088699,NORTH AVOCA,2260,NSW,2
+,GANSW718460533,21A-A,LAKE STREET,,151.43437237,-33.46088699,NORTH AVOCA,2260,NSW,2
-,GANSW718464384,1A,PRATLEY STREET,,151.31356576,-33.49596173,WOY WOY,2256,NSW,2
+,GANSW718464384,1A-A,PRATLEY STREET,,151.31356576,-33.49596173,WOY WOY,2256,NSW,2
-,GAQLD719897644,56,RANDALL STREET,,143.54742465,-9.50702352,UGAR ISLAND,4875,QLD,4
+,GAQLD719897644,56,RANDALL STREET,,143.54742465,-9.50702352,UGAR ISLAND,,QLD,4
-,GAWA_148013619,4,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148013619,4,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAWA_148006302,2B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148006302,2B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAQLD721433232,5210,MIDDLE CREEK ROAD,,145.85559478,-25.64063658,SCRUBBY CREEK,4478,QLD,2
+,GAQLD721433232,5210,MIDDLE CREEK ROAD,,145.85559478,-25.64063658,SCRUBBY CREEK,4878,QLD,2
-,GANSW718458468,29A,GABAGONG ROAD,,151.30375903,-33.49117783,HORSFIELD BAY,2256,NSW,2
+,GANSW718458468,29A-A,GABAGONG ROAD,,151.30375903,-33.49117783,HORSFIELD BAY,2256,NSW,2
-,GAWA_148026384,6A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148026384,6A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718454291,293A,AVOCA DRIVE,,151.35635107,-33.45848143,GREEN POINT,2251,NSW,2
+,GANSW718454291,293A-A,AVOCA DRIVE,,151.35635107,-33.45848143,GREEN POINT,2251,NSW,2
-,GANSW718463268,294A,OCEAN BEACH ROAD,,151.31886153,-33.51138030,UMINA BEACH,2257,NSW,2
+,GANSW718463268,294A-A,OCEAN BEACH ROAD,,151.31886153,-33.51138030,UMINA BEACH,2257,NSW,2
-,GAWA_148013631,11A,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148013631,11A,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAWA_161571003,LOT 54,PANNAWONICA ROAD,,116.32205139,-21.64558342,PANNAWONICA,6716,WA,4
+,GAWA_161571003,LOT 54,PANNAWONICA ROAD,,116.32205139,-21.64558342,PANNAWONICA,,WA,4
-,GAWA_148010727,2,GASCOYNE COURT,UNIT 1,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148010727,2,GASCOYNE COURT,UNIT 1,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GASA_719549930,21,MURPUTJA ROAD,,130.18280880,-26.16355971,MURPUTJA,0872,SA,4
+,GASA_719549930,21,MURPUTJA ROAD,,130.18280880,-26.16355971,MURPUTJA,,SA,4
-,GAWA_161040342,4,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_161040342,4,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANSW718455443,130B,BROADWATER DRIVE,,151.36708558,-33.47328025,SARATOGA,2251,NSW,2
+,GANSW718455443,130B-B,BROADWATER DRIVE,,151.36708558,-33.47328025,SARATOGA,2251,NSW,2
-,GANSW718455362,72A,BRISBANE AVENUE,,151.31024133,-33.52128746,UMINA BEACH,2257,NSW,2
+,GANSW718455362,72A-A,BRISBANE AVENUE,,151.31024133,-33.52128746,UMINA BEACH,2257,NSW,2
-,GAQLD425791883,82,B TENNYSONS ROAD,,150.63392564,-26.63944732,RED HILL,4413,QLD,2
+,GAQLD425791883,82,B TENNYSONS ROAD,,150.63392564,-26.63944732,RED HILL,4877,QLD,2
-,GAWA_148008814,4,GASCOYNE COURT,UNIT 1,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148008814,4,GASCOYNE COURT,UNIT 1,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANSW718453942,22A,ALGONA AVENUE,,151.37864387,-33.46926441,KINCUMBER,2251,NSW,2
+,GANSW718453942,22A-A,ALGONA AVENUE,,151.37864387,-33.46926441,KINCUMBER,2251,NSW,2
-,GASA_719549098,23,MURPUTJA ROAD,,130.18280880,-26.16355971,MURPUTJA,0872,SA,4
+,GASA_719549098,23,MURPUTJA ROAD,,130.18280880,-26.16355971,MURPUTJA,,SA,4
-,GAWA_148025664,14B,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148025664,14B,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAQLD425803301,561,B TENNYSONS ROAD,,150.62212450,-26.64926963,RED HILL,4413,QLD,4
+,GAQLD425803301,561,B TENNYSONS ROAD,,150.62212450,-26.64926963,RED HILL,4877,QLD,4
-,GAWA_719502981,31,DOONGAN ROAD,,126.30086150,-15.38675975,DRYSDALE RIVER,6740,WA,4
+,GAWA_719502981,31,DOONGAN ROAD,,126.30086150,-15.38675975,DRYSDALE RIVER,,WA,4
-,GAWA_148026402,30,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148026402,30,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148026404,20B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148026404,20B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718456818,140A,DAVISTOWN ROAD,,151.35892068,-33.47314328,SARATOGA,2251,NSW,2
+,GANSW718456818,140A-A,DAVISTOWN ROAD,,151.35892068,-33.47314328,SARATOGA,2251,NSW,2
-,GAQLD425791882,190,B TENNYSONS ROAD,,150.61064912,-26.63641023,RED HILL,4413,QLD,2
+,GAQLD425791882,190,B TENNYSONS ROAD,,150.61064912,-26.63641023,RED HILL,4877,QLD,2
-,GANSW721458088,2970,SCOTTS MAIN RANGE ROAD,,150.24881209,-33.98965990,KOWMUNG,2787,NSW,4
+,GANSW721458088,2970,SCOTTS MAIN RANGE ROAD,,150.24881209,-33.98965990,KOWMUNG,,NSW,4
-,GANSW718460282,2E,KATEENA AVENUE,,151.31788387,-33.45064175,TASCOTT,2250,NSW,2
+,GANSW718460282,2E-E,KATEENA AVENUE,,151.31788387,-33.45064175,TASCOTT,2250,NSW,2
-,GANSW718460283,25A,KATHERINE CRESCENT,,151.37180459,-33.45112107,GREEN POINT,2251,NSW,2
+,GANSW718460283,25A-A,KATHERINE CRESCENT,,151.37180459,-33.45112107,GREEN POINT,2251,NSW,2
-,GANSW718454919,300A,BLACKWALL ROAD,,151.33199156,-33.50255312,BLACKWALL,2256,NSW,2
+,GANSW718454919,300A-A,BLACKWALL ROAD,,151.33199156,-33.50255312,BLACKWALL,2256,NSW,2
-,GANSW721458223,505,SCOTTS MAIN RANGE ROAD,,150.24881209,-33.98965990,KOWMUNG,2787,NSW,4
+,GANSW721458223,505,SCOTTS MAIN RANGE ROAD,,150.24881209,-33.98965990,KOWMUNG,,NSW,4
-,GAWA_148010751,1,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148010751,1,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148008968,10B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148008968,10B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148008966,7,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148008966,7,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAWA_162405246,5,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_162405246,5,GASCOYNE COURT,,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANT_719680954,LOT 24,MILYAKBURRA,,136.19628165,-13.78282304,MILYAKBURRA,0822,NT,4
+,GANT_719680954,LOT 24,MILYAKBURRA,,136.19628165,-13.78282304,MILYAKBURRA,,NT,4
-,GAQLD425791884,LOT 1,B TENNYSONS ROAD,,150.62554721,-26.65450052,RED HILL,4413,QLD,2
+,GAQLD425791884,LOT 1,B TENNYSONS ROAD,,150.62554721,-26.65450052,RED HILL,4877,QLD,2
-,GAQLD425418029,54,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418029,54,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAWA_148005122,25A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148005122,25A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718457414,66A,DWYER STREET,,151.34957806,-33.41572741,NORTH GOSFORD,2250,NSW,2
+,GANSW718457414,66A-A,DWYER STREET,,151.34957806,-33.41572741,NORTH GOSFORD,2250,NSW,2
-,GAWA_148026398,25A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148026398,25A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718461733,11A,MARGARET STREET,,151.31860454,-33.43795009,POINT CLARE,2250,NSW,2
+,GANSW718461733,11A-A,MARGARET STREET,,151.31860454,-33.43795009,POINT CLARE,2250,NSW,2
-,GANSW718457217,12A,DONNISON STREET WEST,,151.32943598,-33.42484916,WEST GOSFORD,2250,NSW,2
+,GANSW718457217,12A-A,DONNISON STREET WEST,,151.32943598,-33.42484916,WEST GOSFORD,2250,NSW,2
-,GAWA_163387537,6701,BYRO-WOODLEIGH ROAD,,115.24208855,-26.04962686,YALARDY,6701,WA,4
+,GAWA_163387537,6701,BYRO-WOODLEIGH ROAD,,115.24208855,-26.04962686,YALARDY,,WA,4
-,GANSW718459961,25A,JANET AVENUE,,151.30124022,-33.52908775,UMINA BEACH,2257,NSW,2
+,GANSW718459961,25A-A,JANET AVENUE,,151.30124022,-33.52908775,UMINA BEACH,2257,NSW,2
-,GAQLD721693220,134,RANDALL STREET,,143.54742465,-9.50702352,UGAR ISLAND,4875,QLD,4
+,GAQLD721693220,134,RANDALL STREET,,143.54742465,-9.50702352,UGAR ISLAND,,QLD,4
-,GAWA_148032901,5,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148032901,5,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAWA_148026397,16E,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148026397,16E,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148029194,9,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148029194,9,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718456737,7A,DALGETY CRESCENT,,151.37292194,-33.44407570,GREEN POINT,2251,NSW,2
+,GANSW718456737,7A-A,DALGETY CRESCENT,,151.37292194,-33.44407570,GREEN POINT,2251,NSW,2
-,GANSW718464382,16A,POZIERES AVENUE,,151.31610827,-33.51527835,UMINA BEACH,2257,NSW,2
+,GANSW718464382,16A-A,POZIERES AVENUE,,151.31610827,-33.51527835,UMINA BEACH,2257,NSW,2
-,GAWA_148023884,23,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148023884,23,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GANSW718466701,52A,WAGSTAFFE AVENUE,,151.34206421,-33.52274637,WAGSTAFFE,2257,NSW,2
+,GANSW718466701,52A-A,WAGSTAFFE AVENUE,,151.34206421,-33.52274637,WAGSTAFFE,2257,NSW,2
-,GANSW718466698,40A,WAGSTAFFE AVENUE,,151.34243344,-33.52385704,WAGSTAFFE,2257,NSW,2
+,GANSW718466698,40A-A,WAGSTAFFE AVENUE,,151.34243344,-33.52385704,WAGSTAFFE,2257,NSW,2
